scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pf_burst_400g,dcqcn,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,7510451818,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,7510451818,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,1,0b000001-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100347981,0.000347981,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,2,0b000101-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100347997,0.000347997,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,3,0b000201-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100348013,0.000348013,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,4,0b000301-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100221075,0.000221075,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,5,0b000401-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336885,0.000336885,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,6,0b000501-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100315308,0.000315308,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,7,0b000601-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100315427,0.000315427,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,8,0b000701-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336933,0.000336933,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,9,0b000801-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100241960,0.000241960,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,10,0b000901-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100221096,0.000221096,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,11,0b000a01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336893,0.000336893,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,12,0b000b01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336941,0.000336941,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,13,0b000c01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100221082,0.000221082,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,14,0b000d01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336901,0.000336901,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,15,0b000e01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100241985,0.000241985,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,16,0b000f01-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100336949,0.000336949,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,17,0b001001-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100315359,0.000315359,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,18,0b001101-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100315420,0.000315420,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
pf_burst_400g,dcqcn,2,19,0b001201-0b004001-10000-3,0,1,64,0.100000000,0.100005225,0.100315333,0.000315333,262144,400000000000,400000000000,400000000000,0,0.000000000,0,15879792,0,262144,0,1.000000000,1.000000000,0,0
